Datetime, Psys, raw Psys V, Pamb, raw PambV 
2019-05-08 10:28:50.878275,81.7067145622,1.4480441908,2.0935586108,1.05828229621
2019-05-08 10:28:51.458375,81.7067145622,1.4480441908,2.0940273751,1.05840730003
2019-05-08 10:28:52.038963,81.7067145622,1.4480441908,2.0940273751,1.05840730003
2019-05-08 10:28:52.619100,81.7174879534,1.44816919462,2.0940273751,1.05840730003
2019-05-08 10:28:53.199123,81.7067145622,1.4480441908,2.0940273751,1.05840730003
2019-05-08 10:28:53.780319,81.7067145622,1.4480441908,2.0940273751,1.05840730003
2019-05-08 10:28:54.360489,81.7067145622,1.4480441908,2.0935586108,1.05828229621
Datetime, Psys, raw Psys V, Pamb, raw PambV 
2019-05-08 10:29:15.614357,80.0907058705,1.42929361858,2.0935586108,1.05828229621
2019-05-08 10:29:16.193501,79.8429178711,1.42641853084,2.0935586108,1.05828229621
2019-05-08 10:29:16.772270,79.5951298717,1.4235434431,2.0935586108,1.05828229621
2019-05-08 10:29:17.351515,79.3581152636,1.42079335917,2.0935586108,1.05828229621
2019-05-08 10:29:17.930254,79.1318740468,1.41816827906,2.0935586108,1.05828229621
2019-05-08 10:29:18.510778,78.8948594386,1.41541819514,2.0935586108,1.05828229621
2019-05-08 10:29:19.090700,78.6578448305,1.41266811121,2.0940273751,1.05840730003
2019-05-08 10:29:19.670666,78.4316036137,1.4100430311,2.0935586108,1.05828229621
2019-05-08 10:29:20.249464,78.2053623969,1.40741795099,2.0935586108,1.05828229621
2019-05-08 10:29:20.828957,77.97912118,1.40479287088,2.0935586108,1.05828229621
Datetime, Psys, raw Psys V, Pamb, raw PambV 
2019-05-08 10:30:00.506671,66.3546319913,1.26991375469,2.09308984649,1.0581572924
2019-05-08 10:30:01.089367,66.2145779047,1.2682887051,2.09308984649,1.0581572924
2019-05-08 10:30:01.668775,66.0960706006,1.26691366314,2.09308984649,1.0581572924
2019-05-08 10:30:02.249395,65.9667899053,1.26541361736,2.09262108219,1.05803228858
2019-05-08 10:30:02.828552,65.8482826012,1.2640385754,2.09308984649,1.0581572924
2019-05-08 10:30:03.409718,65.7297752972,1.26266353343,2.09308984649,1.0581572924
2019-05-08 10:30:03.988993,65.6004946018,1.26116348766,2.09308984649,1.0581572924
2019-05-08 10:30:04.569065,65.492760689,1.25991344951,2.09308984649,1.0581572924
2019-05-08 10:30:05.148344,65.3634799937,1.25841340373,2.09308984649,1.0581572924
2019-05-08 10:30:05.727727,65.2557460809,1.25716336558,2.09308984649,1.0581572924
2019-05-08 10:30:06.306391,65.1372387769,1.25578832362,2.09308984649,1.0581572924
2019-05-08 10:30:06.886849,65.0187314728,1.25441328166,2.09308984649,1.0581572924
2019-05-08 10:30:07.467164,64.8894507775,1.25291323588,2.09308984649,1.0581572924
2019-05-08 10:30:08.047995,64.7817168647,1.25166319773,2.09308984649,1.0581572924
2019-05-08 10:30:08.627542,64.6739829519,1.25041315958,2.0935586108,1.05828229621
