01,215638.000,215714.000,4005.1623,4005.1608,10513.9660,10513.9677,1651.2,1671.2,3.8969314249092073,3.8901812189092686,1.0045550706503494,0.9694539994506667,3.3362893154698323,3.336101809747612,27.18082949308756,26.245800958281194,26.26002209540087,25.942012390514847,25.97016013202307,25.785839006988738,11.84273964659566,11.817738883632925

03,215721.000,215758.000,4005.1606,4005.1599,10513.9679,10513.9698,1672.5,1667.6,3.89074373607593,3.8862435987426376,0.9708040406506545,1.024355674916837,3.336101809747612,3.336101809747612,26.235800653096103,26.680814233832823,25.91801165807061,25.852009643848987,26.057200663289287,25.888239632007814,11.817738883632925,11.839614551225319

05,215806.000,215843.000,4005.1602,4005.1609,10513.9708,10513.9713,1668.5,1660.1,3.8853060701315347,3.878930875576037,0.9783042695394756,0.9864045167394025,3.336101809747612,3.336101809747612,26.67081392864773,26.20079958494827,25.840009277626876,25.882010559404293,26.013680397656177,26.123761069551684,11.838052003540147,11.85836512344737

07,215852.000,215929.000,4005.1608,4005.1605,10513.9711,10513.9709,1659.7,1647.7,3.8836185186315504,3.8757432782982875,0.9690039857173375,0.9625537888729515,3.336101809747612,3.3362893154698323,25.655782952360607,25.34577349162267,25.912011474959556,26.020014770958596,26.19032147581408,25.888239632007814,11.85836512344737,11.878678243354592

09,215940.000,220017.000,4005.1606,4005.1606,10513.9703,10513.9703,1647.0,1641.6,3.879118381298258,3.8731181981872003,0.9444032349620045,0.9702040223395489,3.3362893154698323,3.336101809747612,25.700784325693537,27.485838801232955,26.050015686513873,26.056015869624915,26.246641819574574,25.995760288277836,11.878678243354592,11.90055391094699

11,220029.000,220106.000,4005.1606,4005.1607,10513.9703,10513.9701,1641.6,1632.2,3.874430738242744,3.8688055665761283,0.9576036378063297,0.9457532761619923,3.3362893154698323,3.3362893154698323,27.52083986938078,27.710845667897576,26.062016052735984,26.122017883846553,26.269681960203865,25.93943994451735,11.903679006317333,11.919304483169043

13,220119.000,220156.000,4005.1608,4005.1611,10513.9703,10513.9701,1628.3,1622.6,3.8689930722983488,3.862617877742851,0.9463532944730979,0.9598537064729759,3.336101809747612,3.3362893154698323,28.565871761223182,29.93091341898862,26.122017883846553,26.092016968291276,26.06232069454024,26.19032147581408,11.934929960020755,11.944305246131778

15,220210.000,220247.000,4005.1612,4005.1609,10513.9700,10513.9694,1622.4,1610.0,3.864680440687277,3.8577427289651176,0.9354029602954193,0.9261026764732812,3.336101809747612,3.3362893154698323,29.62090395825068,32.75099948118534,26.044015503402818,26.092016968291276,26.292722100833153,26.11864103830073,11.947430341502121,11.958368175298318

