Ch1 V, RH(%), Ch2 V, Temp (C)
0.00625019074068,-39.8168889431,0.00396740623188,0.158696249275
0.00650019837031,-39.8095645009,0.00389110995819,0.155644398328
0.00625019074068,-39.8168889431,0.00396740623188,0.158696249275
0.00650019837031,-39.8095645009,0.00389110995819,0.155644398328
1.3164151738,-1.43314920499,0.517365031892,20.6946012757
1.32579045991,-1.15848261971,0.52415540025,20.96621601
1.32629047517,-1.14383373516,0.530030213324,21.201208533
1.3265404828,-1.13650929289,0.533082064272,21.3232825709
1.32691549425,-1.12552262947,0.53613391522,21.4453566088
1.32691549425,-1.12552262947,0.537965025788,21.5186010315
1.32679049043,-1.12918485061,0.538804284799,21.5521713919
1.32704049806,-1.12186040834,0.538880581072,21.5552232429
1.32729050569,-1.11453596606,0.53903317362,21.5613269448
1.32716550188,-1.1181981872,0.539109469893,21.5643787957
1.32741550951,-1.11087374493,0.53903317362,21.5613269448
1.32716550188,-1.1181981872,0.539109469893,21.5643787957
1.32741550951,-1.11087374493,0.53903317362,21.5613269448
1.32741550951,-1.11087374493,0.53903317362,21.5613269448
0.373386394848,-29.0609454634,0.111545152135,4.46180608539
0.00650019837031,-39.8095645009,0.0038148136845,0.15259254738
0.00650019837031,-39.8095645009,0.00396740623188,0.158696249275
0.00625019074068,-39.8168889431,0.00396740623188,0.158696249275
0.00662520218513,-39.8059022797,0.0038148136845,0.15259254738
0.0063751945555,-39.813226722,0.00404370250557,0.161748100223
0.00650019837031,-39.8095645009,0.0038148136845,0.15259254738
0.0063751945555,-39.813226722,0.00404370250557,0.161748100223
0.00650019837031,-39.8095645009,0.00389110995819,0.155644398328
Ch1 V, RH(%), Ch2 V, Temp (C)
0.00662520218513,-39.6819902951,0.00662520218513,0.265008087405
0.00662520218513,-39.6819902951,0.00675020599994,0.270008239998
0.0063751945555,-39.6939906613,0.0063751945555,0.25500778222
0.00650019837031,-39.6879904782,0.00662520218513,0.265008087405
1.31604016236,23.1699277932,0.877651783807,35.1060713523
1.32579045991,23.6379420759,0.88240192877,35.2960771508
1.32679049043,23.6859435408,0.884151982177,35.3660792871
1.32679049043,23.6859435408,0.885277016511,35.4110806604
1.32704049806,23.697943907,0.885402020325,35.416080813
1.32716550188,23.7039440901,0.885652027955,35.4260811182
1.32741550951,23.7159444563,0.885152012696,35.4060805078
1.32741550951,23.7159444563,0.885277016511,35.4110806604
1.32729050569,23.7099442732,0.884777001251,35.3910800501
1.32754051332,23.7219446394,0.884651997436,35.3860798975
1.32766551714,23.7279448225,0.884026978362,35.3610791345
1.32791552477,23.7399451888,0.884276985992,35.3710794397
