UTC, Latitude, Longitude, Altitude
,0.0,0.0,nan
2017-05-08T18:46:53.000Z,40.037645,-105.242793333,1650.1
2017-05-08T18:46:56.000Z,40.03764,-105.242833333,1650.1
2017-05-08T18:46:59.000Z,40.037633333,-105.242855,1650.0
2017-05-08T18:47:03.000Z,40.037626667,-105.242886667,1650.1
2017-05-08T18:47:06.000Z,40.037616667,-105.242921667,1650.3
2017-05-08T18:47:09.000Z,40.037618333,-105.242928333,1650.4
2017-05-08T18:47:12.000Z,40.037613333,-105.242955,1650.5
2017-05-08T18:47:16.000Z,40.03761,-105.24298,1650.6
2017-05-08T18:47:19.000Z,40.037611667,-105.243,1650.8
2017-05-08T18:47:22.000Z,40.03761,-105.243006667,1650.9
2017-05-08T18:47:25.000Z,40.037611667,-105.24299,1650.9
2017-05-08T18:47:29.000Z,40.037638333,-105.242963333,1651.2
2017-05-08T18:47:32.000Z,40.037646667,-105.242961667,1651.2
2017-05-08T18:47:35.000Z,40.037641667,-105.242971667,1651.2
2017-05-08T18:47:39.000Z,40.03764,-105.242993333,1651.1
2017-05-08T18:47:42.000Z,40.037645,-105.242981667,1651.1
2017-05-08T18:47:45.000Z,40.037643333,-105.242988333,1651.0
2017-05-08T18:47:48.000Z,40.03764,-105.24297,1650.7
2017-05-08T18:47:51.000Z,40.03765,-105.242945,1650.6
UTC, Latitude, Longitude, Altitude
,0.0,0.0,nan
2017-05-08T20:24:58.000Z,40.037246667,-105.242515,1628.2
2017-05-08T20:25:01.000Z,40.037248333,-105.242523333,1628.3
2017-05-08T20:25:04.000Z,40.037266667,-105.242543333,1628.4
2017-05-08T20:25:07.000Z,40.03727,-105.24257,1628.4
2017-05-08T20:25:11.000Z,40.037281667,-105.242616667,1628.6
2017-05-08T20:25:14.000Z,40.037283333,-105.242621667,1628.6
2017-05-08T20:25:17.000Z,40.037293333,-105.242625,1628.6
2017-05-08T20:25:20.000Z,40.037406667,-105.242735,1628.4
2017-05-08T20:25:24.000Z,40.037638333,-105.242935,1628.0
