000541.800,,,,,00
000713.800,,,,,00
000714.800,,,,,00
000726.800,,,,,00
000727.800,,,,,00
000733.800,,,,,00
181927.309,,,,,00
182019.000,4002.2333,10514.5863,1612.2,-20.6,08
182020.000,4002.2332,10514.5863,1612.1,-20.6,08
182051.000,4002.2328,10514.5860,1612.7,-20.6,08
182052.000,4002.2327,10514.5860,1612.8,-20.6,08
182112.000,4002.2325,10514.5858,1613.8,-20.6,08
182113.000,4002.2325,10514.5858,1613.8,-20.6,08
182144.000,4002.2321,10514.5849,1615.4,-20.6,08
182145.000,4002.2320,10514.5849,1615.5,-20.6,08
