194853.000,16.3204980621,16.623728019,24.0978011414,11.8996391186
194855.000,16.3654994354,16.5397254555,22.6977584155,11.8991703543
194857.000,16.4305014191,16.4377223426,22.0743018891,11.8996391186
194858.000,16.4505020295,16.3897208777,22.0477385784,11.8996391186
194901.000,16.480502945,16.2517166662,22.0430509354,11.89870159
194903.000,16.4605023347,16.1497135533,22.0477385784,11.8991703543
194905.000,16.370499588,16.083711539,22.0555513169,11.8996391186
194907.000,15.9954881436,15.9697080599,22.069614246,11.9001078829
194908.000,15.7554808191,15.921706595,22.0805520798,11.9010454115
194911.000,15.2804663228,15.8437042146,22.0852397229,11.9010454115
194913.000,14.9054548784,15.7657018342,22.0883648183,11.8991703543
194915.000,14.6854481643,15.6996998199,22.1024277474,11.8991703543
194917.000,14.2704354991,15.6156972564,22.1071153905,11.8996391186
194918.000,14.0254280221,15.5856963408,22.1133655812,11.8991703543
194920.000,13.7904208502,15.5556954253,22.1211783197,11.8996391186
194922.000,13.4304098636,15.4836932279,22.1274285104,11.9005766472
194923.000,13.2854054384,15.4476921293,22.1289910581,11.9010454115
194926.000,13.2054029969,15.3636895657,22.1258659627,11.8996391186
194928.000,13.2154033021,15.3156881008,22.1321161534,11.8991703543
194930.000,13.2754051332,15.2736868191,22.1118030335,11.8991703543
194932.000,13.4354100162,15.2316855373,22.1086779382,11.8977640614
194933.000,13.5254127628,15.1896842555,22.1055528428,11.8991703543
194935.000,13.6104153569,15.1536831568,22.1102404859,11.8972952971
194937.000,13.7454194769,15.0696805933,22.1274285104,11.8991703543
194938.000,13.7854206977,15.0396796777,22.124303415,11.8963577685
194941.000,13.8354222236,14.9796778466,22.1383663442,11.9005766472
194943.000,13.8354222236,14.9196760155,22.1352412488,11.8972952971
194945.000,13.7254188665,14.8776747337,22.1430539872,11.8977640614
194947.000,13.4704110843,14.8176729026,22.1399288919,11.8968265328
194948.000,13.3354069643,14.7936721702,22.1383663442,11.8972952971
194950.000,13.2154033021,14.7696714377,22.1383663442,11.8982328257
194952.000,13.0253975036,14.7336703391,22.1414914396,11.89870159
194953.000,12.9503952147,14.7036694235,22.149304178,11.8991703543
194956.000,12.7403888058,14.6496677755,22.1555543687,11.9001078829
194958.000,12.590384228,14.5956661275,22.1571169164,11.8991703543
195000.000,12.4953813288,14.5596650288,22.1586794641,11.8991703543
195002.000,12.3353764458,14.5236639302,22.1586794641,11.8996391186
195003.000,12.2453736991,14.4996631977,22.1618045595,11.89870159
195006.000,12.0803686636,14.4756624653,22.1602420118,11.8991703543
195008.000,11.9503646962,14.4456615497,22.1571169164,11.8991703543
