Ch1 V, Ch1 Bits
Ch1 V, Ch1 Bits
0.488796655171,4449
0.489345988342,4454
0.496377452925,4518
0.489345988342,4454
0.489895321512,4459
0.494399853511,4500
0.48956572161,4456
0.480227057711,4371
0.625690481277,5695
0.599212622456,5454
3.24293343913,29517
3.2428235725,29516
3.2428235725,29516
3.2428235725,29516
3.24304330576,29518
3.24293343913,29517
3.24293343913,29517
3.24293343913,29517
3.2431531724,29519
3.24293343913,29517
0.490993987854,4469
0.489345988342,4454
0.520877712333,4741
0.504617450484,4593
-0.000329599902341,-3
-0.000549333170568,-5
-0.000439466536454,-4
-0.000549333170568,-5
-0.000329599902341,-3
-0.000549333170568,-5
0.489785454878,4458
0.494619586779,4502
0.491653187658,4475
0.490334788049,4463
0.489895321512,4459
0.494949186682,4505
0.490115054781,4461
Ch1 V, Ch1 Bits
0.490334788049,4463
0.494509720145,4501
0.488576921903,4447
0.487368388928,4436
0.486928922391,4432
0.525821710868,4786
0.599542222358,5457
0.480886257515,4377
0.506704916532,4612
3.24403210547,29527
3.24414197211,29528
3.24425183874,29529
Ch1 V, Ch1 Bits
0.488247322001,4444
0.490115054781,4461
0.493081453902,4488
0.465395062105,4236
0.488027588733,4442
0.487807855464,4440
0.447486800745,4073
0.490005188147,4460
0.492312387463,4481
0.48956572161,4456
0.492202520829,4480
0.535819574572,4877
0.515604113895,4693
3.24622943815,29547
3.24622943815,29547
3.24622943815,29547
3.24622943815,29547
3.24622943815,29547
3.24622943815,29547
3.24622943815,29547
3.24633930479,29548
3.24622943815,29547
0.481875057222,4386
0.485940122684,4423
0.479897457808,4368
-0.000109866634114,-1
0.0,0
-0.000329599902341,-3
-0.000329599902341,-3
-0.000329599902341,-3
-0.000329599902341,-3
-0.000329599902341,-3
-0.000329599902341,-3
-0.000329599902341,-3
Ch1 V, Ch1 Bits
0.493411053804,4491
0.488796655171,4449
0.493960386975,4496
0.494949186682,4505
0.61349528489,5584
3.04363536485,27703
3.02935270241,27573
3.03550523392,27629
3.02847376934,27565
3.01496017335,27442
3.01474044008,27440
3.01441084017,27437
3.01507003998,27443
3.01474044008,27440
3.01430097354,27436
3.01507003998,27443
0.692379528184,6302
0.491323587756,4472
0.491323587756,4472
0.509781182287,4640
0.492971587268,4487
0.497915585803,4532
0.488576921903,4447
0.489675588244,4457
0.48901638844,4451
0.487807855464,4440
0.517032380139,4706
0.488247322001,4444
0.485061189611,4415
0.485940122684,4423
0.487038789026,4433
0.495718253121,4512
0.490224921415,4462
0.490664387951,4466
0.491543321024,4474
0.489455854976,4455
0.48901638844,4451
Ch1 V, Ch1 Bits
0.561267128513,4490
0.568642353587,4549
0.567892330699,4543
0.558392040773,4467
0.560517105625,4484
0.508640522477,4069
0.661895199438,5295
3.69448774682,29555
3.69448774682,29555
3.69461275063,29556
3.69386272774,29550
3.69448774682,29555
3.694362743,29554
3.69448774682,29555
3.69448774682,29555
3.69448774682,29555
3.69448774682,29555
3.69461275063,29556
0.852901028474,6823
0.562642170476,4501
0.556266975921,4450
0.556516983551,4452
0.560017090365,4480
-0.000375011444441,-3
-0.000375011444441,-3
-0.000375011444441,-3
-0.000375011444441,-3
0.573517502365,4588
0.556516983551,4452
0.557767021699,4462
0.55989208655,4479
0.557517014069,4460
0.558142033143,4465
3.43060469375,27444
3.43072969756,27445
3.43060469375,27444
3.43035468612,27442
3.43097970519,27447
3.42997967467,27439
3.43060469375,27444
3.4302296823,27441
3.4302296823,27441
0.592393078402,4739
0.565142246773,4521
0.559017059847,4472
0.548391735588,4387
0.564767235328,4518
0.557267006439,4458
0.562142155217,4497
0.571017426069,4568
0.569517380291,4556
0.561392132328,4491
0.559392071291,4475
0.555891964476,4447
0.562017151402,4496
0.556141972106,4449
0.561267128513,4490
