Date not available,16.8505142369,24.1899589221,13.1240287484,11.8808885464
Date not available,16.8555143895,24.2499607532,13.3552858058,11.8804197821
Date not available,16.8555143895,24.3399634999,12.3068163091,11.8813573107
Date not available,16.8805151524,24.5679704581,12.6458891568,11.8799510178
Date not available,16.8905154576,24.615971923,12.1474364452,11.8790134892
Date not available,16.8955156102,24.6819739372,12.2802529984,11.8799510178
Date not available,16.9055159154,24.7419757683,12.1161854915,11.8785447249
Date not available,16.9255165258,24.8139779656,12.3365047151,11.8790134892
234153.097,17.1055220191,13.107620716,22.4665013581,11.8972952971
234154.306,17.1005218665,13.107620716,22.3555604724,11.8968265328
234157.000,17.0955217139,13.0836199835,22.2649327067,11.8968265328
234158.000,17.1055220191,13.0716196173,22.2414944914,11.8968265328
234200.000,17.1005218665,13.0716196173,22.2243064669,11.8963577685
234202.000,17.1055220191,13.0596192511,22.2243064669,11.8972952971
234203.000,17.1005218665,13.0476188849,22.20868099,11.8968265328
234206.000,17.1055220191,13.0296183355,22.2055558947,11.8968265328
234208.000,17.1105221717,13.0176179693,22.1899304178,11.8968265328
234210.000,17.1155223243,13.0056176031,22.1914929655,11.8968265328
234212.000,17.1455232398,12.9756166875,22.1899304178,11.8972952971
234213.000,17.1605236976,12.9636163213,22.1774300363,11.8968265328
234215.000,17.1755241554,12.9396155889,22.1836802271,11.8982328257
234217.000,17.1905246132,12.9276152226,22.1743049409,11.8972952971
234218.000,17.2005249184,12.9036144902,22.1821176794,11.8982328257
234221.000,17.2255256813,12.8856139409,22.1696172979,11.8968265328
234223.000,17.2305258339,12.8796137577,22.1696172979,11.8972952971
234225.000,17.2405261391,12.8616132084,22.1649296548,11.8972952971
234227.000,17.2555265969,12.837612476,22.1774300363,11.8972952971
234228.000,17.2755272073,12.8316122929,22.1696172979,11.8972952971
234231.000,17.2805273598,12.8196119266,22.1696172979,11.8982328257
234233.000,17.2855275124,12.8136117435,22.1696172979,11.8972952971
